aggregation_method,layer,global_mean,global_var,median_nonzero_mean,median_nonzero_var,nonzero_frac,max_mean,max_var,num_nonzero_features,total_features
max,26,136.8448944091797,135509.265625,65.36614990234375,95452.8125,0.492431640625,21804.3984375,23689620.0,8068,16384
max,27,149.3857421875,166289.40625,70.53924560546875,113703.71875,0.49249267578125,23049.150390625,32901246.0,8069,16384
max,28,159.6791534423828,190502.625,78.5591049194336,138496.796875,0.49066162109375,25135.970703125,34740032.0,8039,16384
max,29,168.39157104492188,209649.578125,80.44837188720703,148502.609375,0.50054931640625,18974.171875,29101236.0,8201,16384
max,30,175.8197784423828,226647.4375,84.79550170898438,161122.953125,0.5028076171875,21196.251953125,55287732.0,8238,16384
max,31,175.48895263671875,223176.65625,88.19058227539062,173395.796875,0.49517822265625,21564.41796875,19368326.0,8113,16384
max,32,185.0648651123047,249089.15625,91.96845245361328,180956.71875,0.49365234375,16923.765625,46834340.0,8088,16384
max,33,188.82122802734375,259750.71875,87.12772369384766,174020.84375,0.4752197265625,22776.625,112375376.0,7786,16384
topk_sum,0,13.541089057922363,4743.900390625,3.9985463619232178,648.7362670898438,0.45965576171875,5408.25,8221522.0,7531,16384
topk_sum,1,14.084912300109863,4793.02880859375,4.1123785972595215,689.928466796875,0.47052001953125,3714.679443359375,3530745.5,7709,16384
topk_sum,2,16.099288940429688,5240.79833984375,4.419439315795898,770.151123046875,0.46356201171875,3493.296630859375,1943212.5,7595,16384
topk_sum,3,17.598119735717773,5791.2919921875,4.781467914581299,806.1874389648438,0.48956298828125,5176.97021484375,1382153.125,8021,16384
topk_sum,4,21.4300537109375,8124.3525390625,5.906498908996582,1180.669189453125,0.43414306640625,5709.50146484375,2891417.0,7113,16384
topk_sum,5,22.517314910888672,10341.458984375,6.308333396911621,1488.62841796875,0.4061279296875,8207.271484375,3455208.75,6654,16384
topk_sum,6,23.65229606628418,10937.662109375,7.102200508117676,1685.362060546875,0.42645263671875,5606.35302734375,3012504.75,6987,16384
topk_sum,7,30.608570098876953,17084.1328125,8.651969909667969,2324.042236328125,0.40234375,5331.57568359375,6350710.0,6592,16384
topk_sum,8,36.075008392333984,20193.732421875,10.560794830322266,2959.708984375,0.40472412109375,6759.65478515625,6874412.0,6631,16384
topk_sum,9,39.30598831176758,22857.119140625,11.053844451904297,3081.889404296875,0.40692138671875,7664.40869140625,11676132.0,6667,16384
topk_sum,10,43.81206512451172,26502.666015625,13.265825271606445,4028.062744140625,0.36639404296875,11811.3662109375,16971884.0,6003,16384
topk_sum,11,52.92842102050781,36790.203125,15.858776092529297,5085.2041015625,0.33892822265625,12868.994140625,30631606.0,5553,16384
topk_sum,12,54.8961181640625,33863.921875,13.631982803344727,4017.756591796875,0.35015869140625,13023.5810546875,19144760.0,5737,16384
topk_sum,13,62.09836196899414,39402.41796875,11.406400680541992,2732.83935546875,0.3619384765625,11951.8310546875,17030676.0,5930,16384
topk_sum,14,61.955230712890625,38811.50390625,10.518781661987305,2590.675048828125,0.40728759765625,12244.4638671875,19179316.0,6673,16384
topk_sum,15,72.00707244873047,50303.2109375,13.416291236877441,3950.356201171875,0.43402099609375,14380.8203125,13553947.0,7111,16384
topk_sum,16,85.47103881835938,73990.0078125,22.758380889892578,10665.3095703125,0.38720703125,18076.537109375,19739134.0,6344,16384
topk_sum,17,114.96668243408203,150159.828125,36.40962219238281,22569.60546875,0.36181640625,25065.8359375,60366996.0,5928,16384
topk_sum,18,130.21038818359375,187510.65625,43.875755310058594,30966.5234375,0.391845703125,25157.41796875,62425328.0,6420,16384
topk_sum,19,159.83255004882812,295857.34375,53.20319366455078,47660.32421875,0.41400146484375,27629.552734375,126797200.0,6783,16384
topk_sum,20,183.11367797851562,406400.96875,65.57059478759766,75055.84375,0.43353271484375,33141.12890625,214248720.0,7103,16384
topk_sum,21,212.73416137695312,511115.53125,72.3185043334961,99480.6328125,0.46881103515625,37492.63671875,197915584.0,7681,16384
topk_sum,22,242.89450073242188,665901.8125,83.79490661621094,144491.96875,0.4884033203125,35388.6953125,186019552.0,8002,16384
topk_sum,23,285.28399658203125,959216.4375,90.00199127197266,179860.90625,0.5037841796875,47372.015625,252927536.0,8254,16384
topk_sum,24,317.54168701171875,1264383.875,102.8589096069336,257980.8125,0.4979248046875,52782.90625,309126304.0,8158,16384
topk_sum,25,359.3929443359375,1641246.5,117.49406433105469,336956.25,0.50244140625,63932.63671875,359878240.0,8232,16384
topk_sum,26,392.9937744140625,2109284.5,131.79544067382812,417568.875,0.492431640625,72675.453125,546759040.0,8068,16384
topk_sum,27,431.2171325683594,2648150.75,150.3728485107422,553659.25,0.49249267578125,83384.28125,563695424.0,8069,16384
topk_sum,28,460.1507568359375,3043100.5,162.19264221191406,646830.6875,0.49066162109375,87559.84375,790309056.0,8039,16384
topk_sum,29,479.0035400390625,3362652.5,166.3656463623047,694053.375,0.50054931640625,83165.09375,541793856.0,8201,16384
topk_sum,30,504.40399169921875,3629826.5,175.49432373046875,753532.0,0.5028076171875,93009.109375,713405312.0,8238,16384
topk_sum,31,508.41265869140625,3593467.0,189.22793579101562,848404.0625,0.49517822265625,92236.6484375,900655296.0,8113,16384
topk_sum,32,528.825439453125,3845054.75,191.25814819335938,859536.0,0.49365234375,73448.7578125,858600896.0,8088,16384
topk_sum,33,557.6526489257812,4045994.0,180.20455932617188,808316.875,0.4752197265625,102749.28125,1452441216.0,7786,16384
